Date,Open,High,Low,Close,Volume,MA20,MA60,RSI,MACD,MACD_signal,technical_signal,sentiment_score,risk_score,daily_return,buy_hold_return,technical_position,technical_return,tech_sent_position,tech_sent_return,multi_agent_position,multi_agent_return,buy_hold_curve,technical_curve,tech_sent_curve,multi_agent_curve
2021-11-12,148.43,150.4,147.48,149.99,63804010,149.583,147.7996666666667,54.58741837750783,0.9180732755806673,1.1331029517084397,0,0.6,0.3,0.01433691756272415,0.01433691756272415,0,0.0,0,0.0,1,0.01433691756272415,1.0024729314262788,0.9593710477982116,0.9593710477982116,1.0013497911067764
2021-11-15,150.37,151.88,149.43,150.0,59222800,149.7555,147.82983333333334,54.61539890092751,0.8920109296855969,1.084884547303871,0,0.1,0.4,6.667111140745696e-05,6.667111140745696e-05,0,0.0,0,0.0,1,6.667111140745696e-05,1.0025397674107728,0.9593710477982116,0.9593710477982116,1.0014165522102572
2021-11-16,149.94,151.488,149.34,151.0,59256210,149.8675,147.85133333333334,57.43944394615796,0.9411984258682651,1.05614732301675,0,0.1,0.4,0.006666666666666599,0.006666666666666599,0,0.0,0,0.0,1,0.006666666666666599,1.009223365860178,0.9593710477982116,0.9593710477982116,1.0080926625583255
2021-11-17,150.995,155.0,150.99,153.49,88807000,150.079,147.91583333333335,63.525506326169044,1.167642208622567,1.0784463001379134,1,0.1,0.4,0.01649006622516569,0.01649006622516569,1,0.0,1,0.0,1,0.01649006622516569,1.025865525999197,0.9593710477982116,0.9593710477982116,1.024716177325016
2021-11-18,153.71,158.67,153.05,157.87,137827700,150.4985,148.07433333333333,71.29997654772939,1.6811506742149902,1.198987174953329,1,0.1,0.4,0.02853606098117134,0.02853606098117134,1,0.02853606098117134,1,0.02853606098117134,1,0.02853606098117134,1.0551396872075913,0.9867477185217516,0.9867477185217516,1.0539575406495554
2021-11-19,157.65,161.02,156.5328,160.55,117305600,151.0915,148.2911666666667,74.8345113850977,2.278102883163882,1.4148103165954398,1,0.1,0.4,0.016975992905555293,0.016975992905555293,1,0.016975992905555293,1,0.016975992905555293,1,0.016975992905555293,1.0730517310519971,1.0034987407909497,1.0034987407909497,1.0718495163823787
2021-11-22,161.68,165.7,161.0,161.02,117467900,151.7105,148.4981666666667,75.40653953775768,2.757332073842747,1.6833146680449014,1,0.2,0.5,0.0029274369355341,0.0029274369355341,1,0.0029274369355341,1,0.0029274369355341,1,0.0029274369355341,1.0761930223232175,1.006436420069503,1.006436420069503,1.0749872882459708
2021-11-23,161.12,161.8,159.0601,161.41,96041900,152.315,148.63633333333334,75.89614911083243,3.1324850628493266,1.9731487470057867,1,0.2,0.5,0.002422059371506524,0.002422059371506524,1,0.002422059371506524,1,0.002422059371506524,1,0.002422059371506524,1.0787996257184853,1.008874068832558,1.008874068832558,1.0775909712817173
2021-11-24,160.75,162.14,159.64,161.94,69463620,152.9695,148.8048333333333,76.57855061048156,3.432989711639692,2.265116939932568,1,0.2,0.5,0.0032835635958119447,0.0032835635958119447,1,0.0032835635958119447,1,0.0032835635958119447,1,0.0032835635958119447,1.0823419328966701,1.0121867709977352,1.0121867709977352,1.0811293097661936
2021-11-26,159.565,160.45,156.36,156.81,76959750,153.1815,148.8765,59.12912388266024,3.220074667681871,2.456108485482429,1,0.2,0.5,-0.03167839940718786,-0.03167839940718786,1,-0.03167839940718786,1,-0.03167839940718786,1,-0.03167839940718786,1.0480550728512217,0.9801223141913972,0.9801223141913972,1.0468808636806028
2021-11-29,159.37,161.19,158.7901,160.24,88748220,153.7035,148.98633333333333,64.88974649383786,3.2901831128125423,2.6229234109484514,1,-0.3,0.6,0.021873604999681273,0.021873604999681273,1,0.021873604999681273,0,0.021873604999681273,1,0.021873604999681273,1.0709798155326815,1.0015611225433934,1.0015611225433934,1.0697799221744775
2021-11-30,159.985,165.52,159.92,165.3,174048100,154.52050000000003,149.16966666666667,71.3133217903111,3.7112631411877146,2.8405913569963044,1,-0.3,0.6,0.03157763354967558,0.03157763354967558,1,0.03157763354967558,0,0.0,1,0.03157763354967558,1.1047988236866717,1.0331880526486703,1.0015611225433934,1.1035610405357037
2021-12-01,167.48,170.3,164.53,164.77,152423000,155.258,149.30433333333335,69.87136541857323,3.9565963469951555,3.0637923549960746,1,-0.3,0.6,-0.003206291591046573,-0.003206291591046573,1,-0.003206291591046573,0,-0.0,1,-0.003206291591046573,1.1012565165084869,1.029875350483493,1.0015611225433934,1.1000227020512274
2021-12-02,158.735,164.2,157.8,163.76,136739200,155.87150000000003,149.4485,67.08746914238787,4.023149754998201,3.2556638349965,1,-0.3,0.6,-0.006129756630454675,-0.006129756630454675,1,-0.006129756630454675,0,-0.0,1,-0.006129756630454675,1.0945060820745875,1.023562465225325,1.0015611225433934,1.0932798305996783
2021-12-03,164.02,164.96,159.72,161.84,118023100,156.4155,149.578,62.02798723804056,3.8762824848581374,3.379787564968828,1,-0.3,0.6,-0.011724474841230959,-0.011724474841230959,1,-0.011724474841230959,0,-0.0,1,-0.011724474841230959,1.0816735730517297,1.0115617328533624,1.0015611225433934,1.080461698731387
2021-12-06,164.29,167.8799,164.28,165.32,107497000,157.1175,149.8505,66.90045877997275,3.994648213553461,3.5027596946857544,1,-0.1,0.6,0.021502718734552673,0.021502718734552673,1,0.021502718734552673,0,0.0,1,0.021502718734552673,1.1049324956556597,1.0333130602775449,1.0015611225433934,1.103694562742665
2021-12-07,169.08,171.58,168.34,171.18,120405400,158.1545,150.21099999999998,73.14865655708674,4.509326226479374,3.7040730010444785,1,-0.1,0.6,0.035446406968304034,0.035446406968304034,1,0.035446406968304034,0,0.0,1,0.035446406968304034,1.144098382569174,1.0699402955378063,1.0015611225433934,1.142816569382346
2021-12-08,172.125,175.96,170.7,175.08,116998900,159.368,150.66033333333334,76.34859363161722,5.172286763940065,3.997715753623596,1,-0.1,0.6,0.022783035401331864,0.022783035401331864,1,0.022783035401331864,0,0.0,1,0.022783035401331864,1.1701644165218539,1.0943167831683556,1.0015611225433934,1.1688533997398125
2021-12-09,174.91,176.75,173.92,174.56,108923700,160.7,151.08583333333334,75.06410242765014,5.591275370053864,4.31642767690965,1,-0.1,0.6,-0.002970070824765858,-0.002970070824765858,1,-0.002970070824765858,0,-0.0,1,-0.002970070824765858,1.1666889453281633,1.0910665848176155,1.0015611225433934,1.1653818223588168
